GRUP;TAHSILATAY;SORUMLUAVUKAT;DEVIR;ANAPARA;FAIZ;TAHSILATDURUM;CARIYILSEVK;ODEMEGUN;ANAPARAFAIZ
GRUP 2;Ekim;;2020;247.61;89.17;İdari Takip;;27;336.78
GRUP 2;Nisan;;2021/04;31571.21;89.3;İdari Takip;;19;31660.51
GRUP 2;Kasım;;2021/08;5801.33;264.28;İdari Takip;;11;6065.61
GRUP 2;Aralık;;2021/06;4912.16;87.84;İdari Takip;;20;5000
GRUP 2;Aralık;;2021/09;1804.66;145.34;İdari Takip;;17;1950
GRUP 2;Ağustos;;2018;5527.58;2546.83;Yasal Takip;;5;8074.41
GRUP 2;Ağustos;;2021/01;3.73;0.23;Yasal Takip;;7;3.96
GRUP 2;Mart;;2021/01;618.11;0;Yasal Takip;;1;618.11
GRUP 2;Aralık;;2021/02;445.66;54.34;Yasal Takip;;25;500
GRUP 2;Haziran;;2017;890.3;546.95;Yasal Takip;;1;1437.25
GRUP 2;Aralık;;2021/05;105.43;492.7;Yasal Takip;;4;598.13
GRUP 2;Kasım;;2020;263.37;59.91;İdari Takip;;5;323.28
GRUP 2;Mart;;2021/02;3582.24;9.02;İdari Takip;;6;3591.26
GRUP 2;Mart;;2020;3862.25;328.14;İdari Takip;;24;4190.39
GRUP 2;Haziran;;2021/04;67503.41;3531.39;İdari Takip;;29;71034.8
GRUP 2;Mart;;2013;2173.13;0;Yasal Takip;;22;2173.13
GRUP 2;Ağustos;;2021/04;592.11;11.55;Yasal Takip;;14;603.66
GRUP 2;Aralık;;2021/05;563.72;36.28;Yasal Takip;;11;600
GRUP 2;Ekim;;2021/04;0;0;Yasal Takip;;2;0
GRUP 2;Kasım;;2021/10;597;3;Yasal Takip;;28;600
GRUP 2;Nisan;;2021/02;795.62;13.02;İdari Takip;;3;808.64
GRUP 2;Temmuz;;2020;0;0;İdari Takip;;10;0
GRUP 2;Ağustos;;2021/05;929.75;43.29;İdari Takip;;20;973.04
GRUP 2;Kasım;;2021/10;732.45;2.76;İdari Takip;;7;735.21
GRUP 2;Şubat;;2015;3565.78;0;Yasal Takip;;3;3565.78
GRUP 2;Nisan;;2013;0;0;Yasal Takip;;18;0
GRUP 2;Mayıs;;2016;0;0;Yasal Takip;;19;0
GRUP 2;Eylül;;2013;256.73;2.43;Yasal Takip;;28;259.16
GRUP 2;Ekim;;2021/09;7067.54;191.79;Yasal Takip;;20;7259.33
GRUP 2;Kasım;;2021/11;2401.4;9.08;Yasal Takip;;29;2410.48
GRUP 2;Ağustos;;2021/03;671.12;50.67;İdari Takip;;3;721.79
GRUP 2;Aralık;;2021/11;1243.45;7.81;İdari Takip;;12;1251.26
GRUP 2;Ağustos;;2014;6971.85;407.24;Yasal Takip;;20;7379.09
GRUP 2;Ekim;;2014;0;142.6;Yasal Takip;;10;142.6
GRUP 2;Eylül;;2021/07;376.22;12.31;Yasal Takip;;16;388.53
GRUP 2;Kasım;;2021/04;1526.45;195.44;İdari Takip;;10;1721.89
GRUP 2;Kasım;;2021/11;2922.57;4.91;İdari Takip;;20;2927.48
GRUP 2;Mart;;2021/04;711.67;1.79;İdari Takip;;5;713.46
GRUP 2;Eylül;;2021/03;45.49;5.1;İdari Takip;;23;50.59
GRUP 2;Temmuz;;2021/07;4483.64;14.12;İdari Takip;;31;4497.76
GRUP 2;Temmuz;;2013;259.4;576.58;Yasal Takip;;25;835.98
GRUP 2;Aralık;;2021/08;0;0;Yasal Takip;;26;0
GRUP 2;Ekim;;2021/05;821.02;84.22;İdari Takip;;27;905.24
GRUP 2;Haziran;;2018;0;0;Yasal Takip;;5;0
GRUP 2;Eylül;;2018;222.09;12.17;Yasal Takip;;26;234.26
GRUP 2;Temmuz;;2014;0;450.98;Yasal Takip;;18;450.98
GRUP 2;Ocak;;2015;406.06;276.24;Yasal Takip;;16;682.3
GRUP 2;Kasım;;2021/11;823.65;3.62;Yasal Takip;;18;827.27
GRUP 2;Ekim;;2020;662.53;155.11;İdari Takip;;8;817.64
GRUP 2;Şubat;;2020;627.37;19.29;İdari Takip;2021;1;646.66
